"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CYB5RL",107.205123019693,0.245189059762103,0.25254802336382,0.159484809745403,0.377684794042806
"CYBA",448.698912264172,-0.0293038248999334,0.110605317535083,0.775840580152141,0.902771155023895
"CYBC1",255.804114333652,0.0545043456915048,0.132384079505604,0.649687411377974,0.833392510688884
"CYBRD1",503.529898566524,0.11200400026591,0.115845765439341,0.296641998322817,0.55156814134934
"CYC1",1083.02268314693,0.0348855702330444,0.0822844338120121,0.660901725569654,0.840727912372848
"CYCS",2301.8160966532,-0.0383431627729932,0.0624349769869066,0.529729200390042,0.757181265858974
"CYFIP1",940.274284497733,-0.124025961311102,0.0831726507421482,0.120689185661352,0.314878756818481
"CYFIP2",41.3029646692504,-0.0634421552026065,0.255354547172236,0.668603670086613,0.844093150247313
"CYGB",11.0207451642295,0.135841748484836,0.317997974681516,0.274860230978206,0.526997835617387
"CYHR1",219.94603254961,0.16571027891563,0.148582282983558,0.205588014904539,0.443769837144653
"CYLD",532.799157603491,0.285753611635774,0.112827647021052,0.00646063872351695,0.0351540265858662
"CYP11A1",3.09247674437993,-0.0321668250230431,0.304813696225459,0.630519156710131,NA
"CYP1A1",1.89827499155389,0.0265516231375197,0.306954821888557,0.622259662548311,NA
"CYP1B1",18.0807037125935,-0.474301187199563,0.654668954197286,0.030410229402491,0.116700061633106
"CYP1B1-AS1",31.6553430086218,0.27718190612579,0.351889106174709,0.123210722372185,0.31923745004133
"CYP20A1",115.268114484127,0.187975724901289,0.19266322122459,0.222793232355682,0.465344278408318
"CYP24A1",268.242709864697,-3.21589474811133,0.195898481286782,3.7682011363546e-62,1.31510219658776e-59
"CYP26C1",1.59173098936665,-0.0346890670373014,0.309367321289666,0.464082573231637,NA
"CYP27A1",27.551618724173,0.00355164942802111,0.253313975703222,0.986298588694331,0.994291308191313
"CYP27B1",53.7531041822539,0.181501772794844,0.254227986092824,0.279539330133207,0.532702370458022
"CYP27C1",29.790126722921,0.0234485399457397,0.257503429258139,0.872259794592691,0.946767158791589
"CYP2C9",2.10653110327156,0.00437286510597219,0.305872260753762,0.93192644954488,NA
"CYP2D7",4.96993058225223,0.0176084127959126,0.296850595365869,0.84314014038871,0.93335675860982
"CYP2R1",27.0198708024493,0.210329365682965,0.345047324478413,0.164580828288416,0.3854946917628
"CYP2S1",18.792729356401,-0.123732813648353,0.294317171097301,0.377781477663733,0.631923479585563
"CYP2U1",120.498196634173,-0.0131298746085551,0.173789947987939,0.926124105131792,0.97014548641696
"CYP3A5",36.3813819680021,0.35734566681736,0.398270959704354,0.0718673465153087,0.219254577994559
"CYP46A1",5.10411113958938,0.188575980550647,0.385832335950593,0.0360125382946964,0.133178945832555
"CYP4A22-AS1",5.9077277517857,0.124073821503802,0.330627127731043,0.183393616980995,0.413427671628931
"CYP4F26P",13.5477240813721,0.172140224311966,0.329892202980494,0.215386014621058,0.456941398161464
"CYP4V2",19.0238311915176,0.119462025612067,0.289829060366307,0.40088992168334,0.652794602289701
"CYP51A1",302.242616368427,0.126816492663232,0.130265001225838,0.283195828905526,0.536267483203183
"CYREN",251.770926582506,-0.0622262634218906,0.136523514890162,0.610292340320319,0.810044039811202
"CYSLTR1",18.4014416023673,0.375725024876185,0.485044823015096,0.0554260734251202,0.182728269747535
"CYSTM1",175.016273830279,0.778722954540506,0.178281913502062,1.63395121832887e-06,2.60581359547941e-05
"CYTH1",343.684305150675,-0.935057702060158,0.152155023015938,8.17827156471122e-11,2.52015033617292e-09
"CYTH2",241.075047443187,0.103997788745074,0.139244526869378,0.40356208390935,0.654487922593952
"CYTH3",303.578600104278,-0.459125287736714,0.144543805201178,0.000437109301216082,0.00374412059551926
"CYTL1",43.20063214592,-2.17504670999819,0.441082828956406,4.65181399170349e-08,9.73636995446224e-07
"CYTOR",443.730230879975,0.66664327500105,0.155968704609588,3.20946476865478e-06,4.82126504336359e-05
"CZIB",202.089778512193,-0.00652072607032665,0.145361107076816,0.953270116206574,0.980809966757922
"D2HGDH",82.1462690021368,-0.00129275474751094,0.204009242181971,0.991762216181659,0.995943226595166
"DAAM1",107.63711762615,-0.356123152225174,0.302786522072142,0.0674627734668764,0.209262885782847
"DAAM2",9.07123859712882,0.0211305180531898,0.296586632837222,0.814039652072205,0.91934776178865
"DAB2",714.063096972707,0.540723247962639,0.0930028710062294,1.51396278317181e-09,3.98597183983498e-08
"DAB2IP",151.603485746572,0.0676696196324738,0.176907462364134,0.643242774954135,0.829165463299837
"DACT1",34.9197978649146,-1.14537096095992,0.458561592591152,0.000720375068413579,0.00573206185136934
"DACT3",12.2939597997773,0.070738123787522,0.292004681562804,0.551291629539535,0.771253238044169
"DAD1",611.052968005154,0.210016874392863,0.109314203827867,0.0396220756655665,0.143141186690697
"DAG1",495.445580935077,-0.194476368338493,0.128638404647215,0.0950317383334918,0.268374350239125
"DAGLA",73.554541591225,0.144473067789346,0.215850309662992,0.368299942293898,0.623352498092129
"DAGLB",162.155072647693,-0.353318869364829,0.1841166822177,0.0215601565444655,0.0898509495314617
"DALRD3",242.103385693008,-0.047646546227924,0.176772986841292,0.741603323645976,0.885659560165549
"DANCR",287.66329175331,-0.31874606957517,0.161411126238115,0.022447927276291,0.0925737962724099
"DAND5",1.99111127349473,0.0480412849669636,0.310732410888862,0.378832651038817,NA
"DANT2",3.17069673343621,0.0231227040940575,0.303603059528872,0.73065893108274,NA
"DAP",2043.90401312705,-0.0682305189281682,0.0604282635825211,0.250032831391764,0.498902100877038
"DAP3",690.463790744057,-0.0253497101448169,0.0895769112379703,0.765818345960812,0.896994293922517
"DAPK1",122.7033771509,-0.633776656892759,0.237302283130951,0.00115093038291729,0.00849164811034406
"DAPK2",15.1769935347423,0.0739444282991756,0.296475678591359,0.504598952002871,0.737056304526678
"DAPK3",748.348661257929,0.214434273283596,0.0965153659502333,0.0190356762865754,0.0817597006389918
"DARS",864.320272364715,-0.131094528992529,0.115952952855546,0.221420631582231,0.463767111751451
"DARS-AS1",6.78539276889756,0.0855084305834837,0.30776209038598,0.396061927959675,0.648096529444129
"DARS2",480.489391695498,-0.160569849245801,0.110188677780591,0.117490513321988,0.309275589093681
"DAW1",32.5951927430154,-0.2164814913945,0.310163932988696,0.198788078059044,0.43442736091919
"DAXX",604.867690217812,-0.0502483513943379,0.093503140863,0.572150632430486,0.787297317154255
"DAZAP1",803.906465592005,-0.265809404085576,0.100423925459777,0.00500304030436402,0.0284288624943547
"DAZAP2",1037.26419695644,0.0732907050308176,0.0749720503218727,0.313801487837226,0.569495485661521
"DBF4",415.875018851715,-0.168332086432417,0.119484378096781,0.125394407760967,0.322720766767439
"DBF4B",166.989889632291,-0.122175311365232,0.157541988857371,0.367429883584272,0.62263101433482
"DBF4P1",3.09299499449353,-0.0145951089856931,0.302959839418497,0.824856054320594,NA
"DBH-AS1",3.40759302410764,-0.0248458180471906,0.302778382053188,0.726325066840897,NA
"DBI",504.836176857795,-0.245166239170927,0.1097747308237,0.0165437353192417,0.0735620254624772
"DBIL5P",6.15166538881746,-0.0170965569377159,0.294957285129627,0.849363321617222,0.936064872402853
"DBN1",1924.5954465421,0.0314300709396233,0.063296830540239,0.612641273279842,0.810811422050645
"DBNDD1",33.2955612901296,-0.769761111254785,0.455935487156422,0.00690090740219107,0.0369343882195248
"DBNDD2",163.825878239382,0.00782412873277867,0.158464807474582,0.955364940220904,0.981507263026705
"DBNL",1068.30866469906,0.0598918290143185,0.0824694729810548,0.451718716565582,0.695423150148949
"DBP",6.67304879779056,-0.227329199468771,0.426573589610316,0.0189293592322595,0.0814195740895726
"DBR1",215.623085846166,-0.0457634103204169,0.161048949198328,0.738085339586635,0.883746114187524
"DBT",193.086443664397,-0.0426315986338458,0.148734212021501,0.742885429022308,0.886277258393972
"DCAF1",262.760608999868,0.00846206926370206,0.129054480352291,0.943536187511699,0.976527418344004
"DCAF10",279.340263734749,-0.044473259059063,0.177304101007055,0.758309128755398,0.893784985116388
"DCAF11",304.094867649575,0.183343485092122,0.139486824951489,0.140945440513563,0.349037661020964
"DCAF12",294.511489981752,-0.247357509895752,0.131873961519558,0.0378800282290828,0.138515005758734
"DCAF12L1",74.0327115330249,-1.67440919088459,0.292036297462756,6.1995219454128e-10,1.72608953311335e-08
"DCAF13",943.748209951642,-0.104097566111718,0.086561098389786,0.20942297289242,0.449165435786272
"DCAF15",311.902236354649,-0.132355631474792,0.128760849909976,0.256611796391772,0.506973832076267
"DCAF16",210.589373283706,0.667486703471568,0.211773835718412,0.000242339507861932,0.00225887515185342
"DCAF17",98.6029722868227,-0.070911633839133,0.217870475606182,0.648623803608858,0.832686562037979
"DCAF4",154.536297051503,-0.0707617297517309,0.161873171748881,0.609394429364709,0.809594741632099
"DCAF4L1",2.6505789724688,0.0188863879899632,0.303790422142269,0.76998505257027,NA
"DCAF5",319.648314199532,0.210369550155542,0.147421778525191,0.105056469036791,0.287149646712169
"DCAF6",439.656594989883,-0.338579125948763,0.139221064679925,0.00678032688270343,0.0364965443072921
"DCAF7",764.561716356882,0.286294863060668,0.108251592980574,0.00466076112392374,0.0268499202252298
"DCAF8",468.135936354792,0.107873232395736,0.128687529491196,0.356819487684606,0.613640931559378
"DCAKD",84.158252410359,0.10821542866146,0.206950946015773,0.489620746816568,0.725313304902903
"DCBLD1",409.623125222317,-0.136692914706569,0.135306597681357,0.259814999626238,0.510947935970509
